,EmployeeNumber,Name,Age,Marital,YearWork,JobLevel,JobRole,OverTime,YearWithManage,Satisfaction,Salary,Travel,Gender,Photo,AttritionRisk
25,32,Maggie Dale,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,0
26,33,Tonya Lyman,1,1,0,1,0,1,0,1,1,0,Female,https://datatraining.io/users/user11_round.png,6
27,35,Jose Yarboro,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,0
28,36,Jane Huston,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,0
29,38,Geraldine Watson,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,1
30,39,Allen Han,1,1,0,1,1,0,1,0,1,0,Male,https://datatraining.io/users/user8_round.png,6
31,40,Donald Hohn,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user8_round.png,1
32,41,Andrew Stevens,1,1,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user4_round.png,5
33,42,Forest Redding,0,0,0,0,1,0,1,0,1,0,Male,https://datatraining.io/users/user7_round.png,3
34,45,Grant Miller,1,0,0,1,0,1,1,0,1,0,Male,https://datatraining.io/users/user4_round.png,5
35,46,Kathleen Batun,0,0,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user2_round.png,2
36,47,Lonnie Gallagher,0,0,0,1,1,1,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,4
37,49,Ashley Imler,0,0,1,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user10_round.png,4
38,51,Evelyn Cook,0,0,0,1,0,1,1,0,1,0,Female,https://datatraining.io/users/user3_round.png,4
39,52,Mary Dampier,1,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,1
40,53,Roger Hatfield,0,0,1,1,1,0,1,0,1,0,Male,https://datatraining.io/users/user6_round.png,5
41,54,Laura Brown,1,0,1,1,1,0,1,0,1,0,Female,https://datatraining.io/users/user10_round.png,6
42,55,John Dudziak,1,1,1,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user4_round.png,6
43,56,Clifford Morris,1,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,2
44,57,Kristi Kertesz,1,1,0,0,1,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,3
45,58,Kristina Minter,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,0
46,60,Edward Oldenburg,1,1,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user1_round.png,3
47,61,Dustin Lucas,0,0,0,1,0,0,1,0,1,0,Male,https://datatraining.io/users/user9_round.png,3
48,62,Levi Parker,0,1,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,2
49,63,Gary Vandermark,0,0,1,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,4
50,64,Charles Riddle,0,1,0,0,1,1,1,0,0,0,Male,https://datatraining.io/users/user1_round.png,4
51,65,Bruce Thompson,1,1,1,1,1,1,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,7
52,68,Chante Lykes,0,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,1
53,70,Gilbert Mack,0,0,0,0,0,1,0,0,0,1,Male,https://datatraining.io/users/user9_round.png,2
54,72,Nancy Hyman,1,0,0,0,0,1,1,0,0,0,Female,https://datatraining.io/users/user3_round.png,3
55,73,Linda Toll,1,1,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,3
56,74,George Newman,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,0
57,75,Evelyn King,0,0,0,1,1,1,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,3
58,76,Owen Conlin,1,0,0,0,1,0,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,2
59,77,James Fain,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,0
60,78,Sal Polly,1,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user8_round.png,2
61,79,Tabitha Phelps,0,1,0,0,1,0,0,0,1,0,Female,https://datatraining.io/users/user10_round.png,3
62,80,Dorothy Brown,0,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,1
63,81,Sandra Gillette,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,1
64,83,Patricia Carter,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,0
65,84,Krystal Richards,0,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,1
66,85,Mark Stutzman,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,1
67,86,Leslie Mcgahey,0,0,0,0,0,0,1,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
68,88,Stephen Hammond,0,0,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,2
69,90,Jerald Mosley,0,0,1,1,0,1,1,0,1,0,Male,https://datatraining.io/users/user4_round.png,5
70,91,Alma Hill,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,1
71,94,Luis Wright,1,0,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,3
72,95,William Pineda,1,1,1,1,0,0,1,0,1,0,Male,https://datatraining.io/users/user8_round.png,6
73,96,Michael Miranda,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
74,97,Nancy Orlowski,0,0,0,1,1,0,1,0,1,0,Female,https://datatraining.io/users/user11_round.png,4
75,98,Marie May,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,2
76,100,David Mcgee,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
77,101,Rocco Rhodes,0,0,0,0,0,1,1,0,0,0,Male,https://datatraining.io/users/user7_round.png,2
78,102,Paul Caban,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,1
79,103,Charles Cabello,0,0,0,0,1,1,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,2
80,104,Jeff Edwards,1,0,0,0,1,1,1,0,0,0,Male,https://datatraining.io/users/user9_round.png,4
81,105,Mark Hernandez,0,1,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,3
82,106,Charles Garrett,0,0,0,0,0,0,1,0,0,0,Male,https://datatraining.io/users/user6_round.png,1
83,107,Nicolette Oswalt,0,0,0,0,0,1,0,0,0,1,Female,https://datatraining.io/users/user11_round.png,2
84,110,David Allen,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,1
85,112,Darren Smith,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,1
86,113,Ronald Calfee,1,0,0,1,1,0,1,0,1,0,Male,https://datatraining.io/users/user7_round.png,5
87,116,Richard Narron,0,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,3
88,117,Rory Kilpatrick,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
89,118,Walter Collins,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
90,119,Mark Smith,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,0
91,120,Donald Scott,0,1,0,0,0,1,1,0,0,0,Male,https://datatraining.io/users/user4_round.png,3
92,121,Clara Kinder,1,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,2
93,124,Curtis Williams,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
94,125,Jeffery Weems,1,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user8_round.png,2
95,126,Monica Digirolamo,0,0,0,0,0,0,0,1,0,0,Female,https://datatraining.io/users/user3_round.png,1
96,128,Lori Martinez,1,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,1
97,129,Harvey Downard,1,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user7_round.png,2
98,131,James Delaney,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
99,132,Brad Birch,0,0,0,0,1,0,0,0,1,1,Male,https://datatraining.io/users/user7_round.png,3
100,133,Paul Valdez,0,0,0,1,1,1,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,4
101,134,Cody Bowser,1,1,1,1,0,0,1,0,1,0,Male,https://datatraining.io/users/user6_round.png,6
102,137,Tracey Hall,1,1,1,1,1,1,1,0,1,0,Female,https://datatraining.io/users/user10_round.png,8
103,138,Joni Wessel,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,2
104,139,James Flores,0,0,0,0,0,0,1,0,0,1,Male,https://datatraining.io/users/user9_round.png,2
105,140,Meghan Selestewa,0,0,0,0,0,0,0,0,0,1,Female,https://datatraining.io/users/user5_round.png,1
106,141,Jennifer Benjamin,0,0,0,0,0,1,0,1,0,0,Female,https://datatraining.io/users/user11_round.png,2
107,142,Kirk Fletcher,1,1,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,3
108,143,Dennis Hosea,1,0,1,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,4
109,144,Jo Stapp,1,1,1,1,1,0,1,0,1,0,Female,https://datatraining.io/users/user10_round.png,7
110,145,Mary Lemon,0,1,0,0,0,0,0,1,0,0,Female,https://datatraining.io/users/user2_round.png,2
111,147,Robert Johnson,1,1,0,0,1,1,0,0,0,0,Male,https://datatraining.io/users/user8_round.png,4
112,148,Diane Johnson,0,1,0,0,0,1,0,0,0,1,Female,https://datatraining.io/users/user11_round.png,3
113,150,Ricky Lucero,1,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,4
114,151,Sherry Hayes,1,0,0,0,0,0,1,0,0,0,Female,https://datatraining.io/users/user5_round.png,2
115,152,Gary Kaschak,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,1
116,153,Marie Collins,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,2
117,154,Martha Westmoreland,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,0
118,155,Julia Hayes,0,0,0,1,1,0,1,0,1,0,Female,https://datatraining.io/users/user10_round.png,4
119,158,Donnie Demby,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user1_round.png,1
120,159,John Spencer,1,0,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,3
121,160,Theodore Harloff,1,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user7_round.png,2
122,161,Evelin Mcpherson,0,0,0,1,0,1,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,2
123,162,Todd Babcock,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user8_round.png,1
124,163,Kurt Snyder,1,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,2
125,164,Donna Drake,1,0,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user3_round.png,3
126,165,Alison Schwing,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,0
127,167,Stephen Cannon,1,1,1,1,1,1,1,0,1,0,Male,https://datatraining.io/users/user4_round.png,8
128,169,Thomas Burback,1,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user4_round.png,4
129,170,Keeley Meinhart,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,0
130,171,Jennifer Cheung,0,1,0,1,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,2
131,174,Princess Fritts,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,1
132,175,Bernice Hargett,1,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,2
133,176,Jacob Abraham,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
134,177,Veronika Brooks,1,0,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,4
135,178,Jose Bishop,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,0
136,179,Leroy Dominguez,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
137,182,Patsy Nunez,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,0
138,183,David Haddock,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
139,184,James Stuart,1,0,0,0,1,1,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,3
140,190,Mary Phillips,1,1,0,1,1,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,4
141,192,Jerry Helmus,0,1,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,3
142,193,Pamela Johnson,0,1,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,2
143,194,Chasity Knudsen,1,1,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user5_round.png,4
144,195,Billy Mack,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
145,197,Angie Mccalmont,1,0,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user5_round.png,3
146,198,Robert Odonnell,1,1,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,5
147,199,Scott Edwards,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,0
148,200,John Washington,0,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,3
149,201,Lucy Ferguson,1,1,1,1,1,0,1,0,1,0,Female,https://datatraining.io/users/user2_round.png,7
150,202,Ouida Harvey,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,0
151,204,Brad Delaney,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,0
152,205,Lance Holm,0,0,0,0,1,1,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,3
153,206,Calvin Beaty,0,0,0,0,1,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,2
154,207,Christina Campbell,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,2
155,208,William Rainey,1,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user9_round.png,2
156,211,Michael Devilbiss,0,0,0,0,0,0,1,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
157,214,Doreen Johnson,0,0,0,1,0,1,1,0,1,0,Female,https://datatraining.io/users/user3_round.png,4
158,215,Stephen Hazelwood,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,0
159,216,Maryanne Bridges,1,0,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user2_round.png,4
160,217,Cornell Woolverton,1,0,1,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,4
161,218,Thomas Finn,1,0,0,1,0,0,0,0,1,1,Male,https://datatraining.io/users/user9_round.png,4
162,221,Anthony Meehan,1,0,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,3
163,223,John Smith,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
164,224,Arturo Farris,1,0,1,1,0,1,0,0,1,1,Male,https://datatraining.io/users/user4_round.png,6
165,226,Esther Mccord,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,1
166,227,Matthew Lachance,0,0,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,2
167,228,Adria Meng,1,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,1
168,230,Jennifer Motley,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,1
169,231,Theodore Easter,1,1,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user4_round.png,4
170,233,Gale Crimmins,1,0,0,1,0,1,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,4
171,235,Debbie Pena,1,1,1,1,1,0,1,0,1,0,Female,https://datatraining.io/users/user10_round.png,7
172,238,John Magana,0,1,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,4
173,239,Frank Hale,1,0,0,0,1,0,0,0,1,1,Male,https://datatraining.io/users/user4_round.png,4
174,240,Amy Barrow,0,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,1
175,241,Monica Cos,0,0,0,1,0,1,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,2
176,242,Danial Timlin,1,1,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,4
177,243,Donald Smith,1,1,1,1,1,0,1,0,1,0,Male,https://datatraining.io/users/user9_round.png,7
178,244,Christina Price,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,0
179,245,Amy Bizzell,0,1,1,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user10_round.png,5
180,246,Marissa Dunbar,1,0,0,1,0,1,0,0,1,0,Female,https://datatraining.io/users/user2_round.png,4
181,247,Carly Zywiec,1,1,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user10_round.png,4
182,248,Amanda Raynes,0,1,0,1,1,1,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,5
183,249,Jesse Hollingsworth,0,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,3
184,250,Dawn Green,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,0
185,252,Ashley Carter,1,0,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user10_round.png,3
186,253,Marylin Clark,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user10_round.png,0
187,254,Ryan Richardson,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
188,256,Bobby Foulger,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
189,258,Kathryn Wright,0,1,0,0,0,0,1,0,0,0,Female,https://datatraining.io/users/user11_round.png,2
190,259,Charles Martin,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,0
191,260,Carol Bennett,1,1,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,4
192,261,Joshua Higgenbotham,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
193,262,Juan Saenz,0,0,0,1,0,0,0,0,1,1,Male,https://datatraining.io/users/user1_round.png,3
194,264,Aaron Baker,0,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user4_round.png,1
195,267,John Jensen,0,0,0,1,0,1,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,3
196,269,Nicole Kowalik,0,1,0,0,1,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,2
197,270,Sarah Dixon,0,0,0,0,0,0,0,0,0,1,Female,https://datatraining.io/users/user3_round.png,1
198,271,Larry Giles,0,0,0,0,0,0,1,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
199,273,Ryan Turner,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,0
200,274,Alberto Vickers,1,0,0,0,0,0,1,0,0,0,Male,https://datatraining.io/users/user8_round.png,2
201,275,Chauncey Ferrini,0,0,0,0,0,1,0,0,0,1,Male,https://datatraining.io/users/user8_round.png,2
202,277,Brian Shaffer,1,0,0,1,0,1,1,0,1,0,Male,https://datatraining.io/users/user8_round.png,5
203,281,Adam Thomas,0,0,0,0,1,1,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,3
204,282,Michael Berg,0,0,0,0,0,1,1,0,0,0,Male,https://datatraining.io/users/user9_round.png,2
205,283,Rosemary Riebe,1,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,1
206,284,Brandon Silva,1,0,0,1,0,1,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,4
207,286,Barbara Manos,0,1,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user2_round.png,4
208,287,Brian Locke,0,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user7_round.png,1
209,288,Eugene Coleman,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,0
210,291,Jorge Peters,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
211,292,Shane Epstein,1,1,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user8_round.png,3
212,293,Gwendolyn Elliot,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,2
213,296,Larry Williams,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,0
214,297,Cynthia Gray,1,1,0,1,0,1,0,0,1,0,Female,https://datatraining.io/users/user3_round.png,5
215,298,Ronda Trahan,0,1,0,0,0,1,1,0,0,0,Female,https://datatraining.io/users/user5_round.png,3
216,299,Ruby Cuellar,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,2
217,300,Scott Lenoir,1,1,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,4
218,302,Nancy Reed,0,1,0,0,0,0,0,0,0,1,Female,https://datatraining.io/users/user5_round.png,2
219,303,Jillian Walker,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,0
220,304,Michael Aleo,0,1,0,0,1,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,2
221,305,Dana Ward,1,0,0,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,3
222,306,William Goudy,0,0,0,0,0,1,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
223,307,William Handsaker,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,0
224,308,Gary Ortiz,1,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user9_round.png,2
225,309,Bobby Peral,0,0,0,1,0,0,1,0,1,0,Male,https://datatraining.io/users/user1_round.png,3
226,311,Alfred Segura,0,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user4_round.png,3
227,312,Marlene Rase,1,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,1
228,314,Bobbie Manzanares,0,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,1
229,315,Lorenzo Hansen,1,1,0,1,0,1,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,5
230,316,Sadie Jarmon,0,1,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,4
231,319,Edward Bisio,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,0
232,321,Richard Hoover,0,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,3
233,323,Ruth Naylor,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,0
234,325,Alonzo Newark,1,0,0,1,1,1,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,5
235,327,Sabrina Johnson,0,0,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user5_round.png,1
236,328,Barbara Hickey,1,0,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user2_round.png,4
237,329,Steve Saunders,0,1,0,0,0,1,0,0,0,1,Male,https://datatraining.io/users/user9_round.png,3
238,330,Ellen Miller,1,0,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,4
239,331,Michael Morrison,1,1,0,1,1,1,0,0,1,0,Male,https://datatraining.io/users/user4_round.png,6
240,332,Barbara Loggins,0,0,0,1,1,0,0,0,1,0,Female,https://datatraining.io/users/user11_round.png,3
241,333,Christopher Marsaw,1,0,0,0,0,0,0,0,0,1,Male,https://datatraining.io/users/user9_round.png,2
242,334,Wiley Davey,0,0,0,0,0,0,1,0,1,0,Male,https://datatraining.io/users/user7_round.png,2
243,335,Matthew Boyle,0,0,0,0,0,0,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,1
244,336,Ralph Cohen,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,0
245,337,John Clark,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user9_round.png,1
246,338,Winnie Bryant,1,0,1,1,0,0,0,0,1,0,Female,https://datatraining.io/users/user2_round.png,4
247,339,Chad Vasquez,1,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,1
248,340,Loretta Marett,0,0,0,1,0,0,0,1,1,0,Female,https://datatraining.io/users/user11_round.png,3
249,341,Daniel Taylor,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user6_round.png,0
